ID,Year_Birth,Education,Marital_Status,Income,Kidhome,Teenhome,Dt_Customer,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Z_CostContact,Z_Revenue,Response
5524,1957,Graduation,Single,58138.0,0,0,04-09-2012,58,138.35,27.04967381087828,87.82,59.72,34.1008058335704,3,8,10,4,7,0,0,0,0,0,0,3,11,1
2174,1954,Graduation,Single,46344.0,1,1,08-03-2014,38,147.07,42.39658678180492,111.17,61.8,47.35385858677824,2,1,1,2,5,0,0,0,0,0,0,3,11,0
4141,1965,Graduation,Together,71613.0,0,0,21-08-2013,26,132.56,43.35094203069926,90.61,80.49,45.133515896658736,1,8,2,10,4,0,0,0,0,0,0,3,11,0
6182,1984,Graduation,Together,26646.0,1,0,10-02-2014,26,93.63,44.75524925126961,88.34,54.45,41.624732187432215,2,2,0,4,6,0,0,0,0,0,0,3,11,0
5324,1981,PhD,Married,58293.0,1,0,19-01-2014,94,141.37,48.02434903362852,122.29,105.8,72.8551484753367,5,5,3,6,5,0,0,0,0,0,0,3,11,0
7446,1967,Master,Together,62513.0,0,1,09-09-2013,16,123.32,36.87661969817366,116.41,79.25,50.526434254211885,2,6,4,10,6,0,0,0,0,0,0,3,11,0
965,1971,Graduation,Divorced,55635.0,0,1,13-11-2012,34,93.67,36.27338827536463,76.9,58.29,31.46983361151833,4,7,3,7,6,0,0,0,0,0,0,3,11,0
6177,1985,PhD,Married,33454.0,1,0,08-05-2013,32,120.93,51.64944736038751,103.29,74.75,57.57838409076911,2,4,0,4,8,0,0,0,0,0,0,3,11,0
4855,1974,PhD,Together,30351.0,1,0,06-06-2013,19,92.41,43.80730251725285,100.22,88.64,58.115878655503415,1,3,0,2,9,0,0,0,0,0,0,3,11,1
5899,1950,PhD,Together,5648.0,1,1,13-03-2014,68,94.87,47.40762466297856,122.56,88.98,65.51101161023823,1,1,0,0,20,1,0,0,0,0,0,3,11,0
1994,1983,Graduation,Married,,1,0,15-11-2013,11,,,,,,1,1,0,2,7,0,0,0,0,0,0,3,11,0
387,1976,Basic,Married,7500.0,0,0,13-11-2012,59,98.77,29.66006532647873,61.35,44.18,34.49418387967625,1,2,0,3,8,0,0,0,0,0,0,3,11,0
2125,1959,Graduation,Divorced,63033.0,0,0,15-11-2013,82,117.5,20.18804488594355,70.09,59.49,27.737458589146563,1,3,4,8,2,0,0,0,0,0,0,3,11,0
8180,1952,Master,Divorced,59354.0,1,1,15-11-2013,53,119.84,25.41932839910473,94.11,60.4,53.579560966020345,3,6,1,5,6,0,0,0,0,0,0,3,11,0
2569,1987,Graduation,Married,17323.0,0,0,10-10-2012,38,95.11,51.28640385862317,87.58,60.64,29.649737404718707,1,1,0,3,8,0,0,0,0,0,0,3,11,0
2114,1946,PhD,Single,82800.0,0,0,24-11-2012,23,158.07,32.374280632466224,94.95,79.08,44.760602296493,1,7,6,12,3,0,0,1,1,0,0,3,11,1
9736,1980,Graduation,Married,41850.0,1,1,24-12-2012,51,126.68,59.17816958984277,112.2,103.98,74.80656221506592,3,3,0,3,8,0,0,0,0,0,0,3,11,0
4939,1946,Graduation,Together,37760.0,0,0,31-08-2012,20,86.05,36.79862361819176,70.0,71.32,23.099581770543963,2,4,1,6,7,0,0,0,0,0,0,3,11,0
6565,1949,Master,Married,76995.0,0,1,28-03-2013,91,153.77,55.69283548985575,124.89,95.35,55.08421941648594,2,11,4,9,5,0,0,0,1,0,0,3,11,0
2278,1985,2n Cycle,Single,33812.0,1,0,03-11-2012,86,109.24,24.17458885603522,74.79,48.23,36.27540190629791,2,2,1,3,6,0,0,0,0,0,0,3,11,0
9360,1982,Graduation,Married,37040.0,0,0,08-08-2012,41,108.99,42.5922316669492,76.83,67.02,38.23816794399626,1,4,2,5,8,0,0,0,0,0,0,3,11,0
