Gender,Ever_Married,Age,Graduated,Profession,Work_Experience,Salary,Spending_Score,Family_Size
Male,Yes,48,1,Entertainment,+20,27836.890724763627,Average,3.0
Male,No,47,1,Entertainment,5-10,44811.83278730265,Low,3.0
Male,Yes,53,1,Artist,+20,17590.920219725256,Average,3.0
Male,Yes,51,1,,+20,,Low,2.0
Male,Yes,37,0,Executive,0-5,32451.43298537454,High,2.0
Female,No,50,1,Entertainment,+20,36975.03416051065,Low,1.0
Male,No,22,0,Healthcare,5-10,16380.784568855142,Low,5.0
Female,,52,0,Engineer,5-10,41102.93092887835,Average,5.0
Male,Yes,28,1,Artist,0-5,26372.987462652432,Low,1.0
Male,Yes,53,1,Artist,+20,53981.037865202554,Average,5.0
Female,Yes,27,1,Marketing,0-5,16728.538740396623,High,2.0
Female,No,34,0,Healthcare,5-10,29918.393764894285,Low,3.0
Female,Yes,42,1,Artist,+20,30472.00563709752,Average,4.0
Male,No,30,1,Entertainment,0-5,19557.901663987162,Low,3.0
Male,Yes,19,0,Entertainment,0-5,12764.291906460396,Low,2.0
Male,Yes,41,1,Executive,5-10,41948.945998702184,High,3.0
Female,No,39,1,Healthcare,5-10,23214.679299918964,Low,4.0
Male,Yes,25,0,Entertainment,5-10,18580.35633243419,Average,3.0
Male,No,59,0,Artist,10-20,63124.697397378135,Low,4.0
Female,No,38,0,Artist,5-10,24923.187439156416,Low,4.0
Female,Yes,29,1,Artist,0-5,15654.49873252778,Average,2.0
Male,Yes,54,1,Lawyer,10-20,65459.87008088483,Low,1.0
Female,Yes,36,1,Lawyer,5-10,40712.97726300875,Average,3.0
Male,Yes,27,0,Entertainment,0-5,11225.394987594922,Low,2.0
Male,Yes,31,1,Artist,5-10,26304.3236352743,Average,2.0
Female,No,43,0,Doctor,10-20,23887.013900608756,Low,7.0
Male,No,53,0,Doctor,10-20,43067.969796101315,Low,3.0
Female,No,47,0,Entertainment,5-10,42615.466719229895,Low,7.0
Female,Yes,58,1,Doctor,5-10,31460.105693334233,Average,2.0
Male,Yes,33,0,Homemaker,10-20,15690.035903325415,Low,1.0
Female,Yes,19,1,Artist,5-10,16753.28965153585,High,2.0
Male,Yes,55,1,Artist,+20,61381.9243495285,Average,3.0
Female,Yes,45,1,Artist,0-5,46965.2448330246,Low,1.0
Male,Yes,56,1,Lawyer,+20,39684.85362413334,High,2.0
Male,No,19,1,Artist,0-5,15309.338582133927,Low,2.0
Male,No,59,1,Artist,5-10,44747.79303298903,Low,3.0
Male,Yes,28,0,Executive,0-5,26222.2864686035,Average,2.0
Male,Yes,20,1,Artist,0-5,14634.261707440432,Average,4.0
Female,No,50,1,Engineer,10-20,57185.24546377459,Low,3.0
Male,No,46,0,Healthcare,10-20,24126.086147206566,Low,2.0
Female,No,44,0,Engineer,10-20,23129.570493731375,Low,4.0
Female,No,23,1,Artist,0-5,21496.846995865075,Low,1.0
Male,Yes,25,1,Lawyer,5-10,28384.82491153494,High,2.0
Female,Yes,30,1,Lawyer,0-5,31232.106475021188,Low,1.0
Male,No,26,1,Doctor,5-10,28943.653178187575,Low,2.0
Male,Yes,27,1,Artist,0-5,18433.623724125417,Average,4.0
Female,No,46,0,Healthcare,+20,20630.332636987296,Low,4.0
Male,Yes,52,0,Artist,+20,11876.151796363838,Low,2.0
Female,Yes,34,0,Engineer,5-10,23880.4885312212,High,
Female,No,41,1,Healthcare,5-10,23163.679183830554,Low,1.0
Male,Yes,23,0,Entertainment,0-5,14559.564054559116,Average,4.0
Female,No,43,0,Entertainment,5-10,20093.036268923723,Low,6.0
Female,Yes,26,0,Engineer,5-10,17597.208605124335,Low,2.0
Female,Yes,22,1,Artist,0-5,17288.693236891853,Average,5.0
Male,No,28,1,Artist,0-5,26202.134219824264,Low,2.0
Male,Yes,23,1,Artist,0-5,18162.88049180703,Average,3.0
Female,No,58,0,,5-10,,Low,2.0
Female,Yes,40,0,Artist,5-10,35894.72915163077,Low,1.0
Male,No,53,1,Marketing,+20,57363.773543233714,Low,1.0
Male,No,39,1,Healthcare,+20,18762.148408849433,Low,1.0
Male,No,23,0,Engineer,0-5,13679.694021911768,Low,4.0
Female,No,34,0,Marketing,10-20,11801.684042698838,Low,4.0
Male,Yes,57,0,Entertainment,+20,32652.568384219176,Average,3.0
Male,Yes,32,1,Artist,10-20,21114.933533253243,Average,3.0
Male,Yes,34,0,Entertainment,10-20,18095.824942055937,Low,2.0
Female,Yes,50,0,Artist,0-5,19998.29908488441,Low,4.0
Male,Yes,51,1,Entertainment,10-20,57268.13315827329,Average,2.0
Male,No,21,1,Entertainment,5-10,17245.162587284784,Low,2.0
Female,Yes,38,1,Entertainment,+20,39457.70595942985,Low,1.0
Female,No,42,1,Healthcare,10-20,23518.467868974934,Low,5.0
Female,No,31,0,Homemaker,+20,22022.074381266113,Low,5.0
Male,Yes,36,1,Entertainment,10-20,18716.39379587162,Low,3.0
Male,No,48,1,Healthcare,10-20,320672.58331605524,Low,1.0
Female,Yes,32,1,Artist,10-20,20987.77535306592,Average,4.0
Male,Yes,33,0,Lawyer,5-10,23008.50264617065,Low,1.0
Female,Yes,58,0,Artist,+20,15343.110946055489,Average,4.0
Male,Yes,41,1,Healthcare,+20,24821.027838929847,High,3.0
Female,Yes,56,1,Artist,+20,54752.278778118576,Average,3.0
Female,Yes,41,1,Artist,5-10,34766.529470357156,Low,4.0
Female,Yes,22,1,Artist,0-5,16382.569455859026,High,3.0
Male,,19,1,Executive,5-10,25174.03945594102,High,3.0
Male,No,46,0,Healthcare,+20,40748.751683853974,Low,4.0
Male,Yes,31,0,Executive,10-20,25258.553131616318,High,4.0
Male,Yes,47,1,Entertainment,+20,22357.058697425477,Low,2.0
Female,No,40,1,Engineer,10-20,42890.77000370955,Low,7.0
Female,Yes,57,1,Doctor,+20,32218.091050552684,Low,
Male,No,30,1,Healthcare,5-10,25168.763669563545,Low,3.0
Male,Yes,26,1,Lawyer,5-10,25265.306898131363,Low,2.0
Male,Yes,34,1,Doctor,5-10,31612.367331667927,Average,2.0
Female,No,26,0,Healthcare,5-10,16627.425014680186,Low,5.0
Male,No,53,0,Healthcare,5-10,35701.65039987222,Low,4.0
Male,No,48,0,Entertainment,+20,48053.033405270195,Low,5.0
Male,Yes,28,1,Entertainment,5-10,23015.383540646115,Average,2.0
Female,Yes,55,0,Engineer,+20,41590.60618800039,Low,1.0
Female,No,23,1,Entertainment,5-10,18074.79773840433,Low,1.0
Male,No,59,1,Healthcare,+20,171483.69733855367,Low,4.0
Female,No,53,0,,5-10,,Low,2.0
Male,Yes,42,1,Artist,10-20,28364.405506624884,Average,4.0
Male,No,22,1,Entertainment,0-5,22719.670507484803,Low,1.0
Female,Yes,39,1,Engineer,5-10,38161.95474297523,Average,2.0
Male,Yes,22,1,Engineer,0-5,23635.31378738749,Average,2.0
Male,Yes,25,0,Executive,0-5,28217.243246145445,High,4.0
Male,Yes,42,0,Executive,10-20,37794.034117177034,High,2.0
Female,Yes,43,1,Lawyer,5-10,49196.202995472195,Low,2.0
Female,No,49,1,Doctor,+20,50023.729688206586,Low,1.0
Male,No,29,1,Healthcare,0-5,22402.672280939856,Low,6.0
Female,No,52,0,Healthcare,10-20,24490.949778261882,Low,3.0
Male,No,23,0,Executive,0-5,25147.145103708688,Low,2.0
Male,No,43,1,Artist,10-20,18850.996393285932,Low,2.0
Male,No,49,1,Healthcare,5-10,36638.262321937196,Low,3.0
Female,No,53,0,Entertainment,5-10,50345.41971637661,Low,4.0
Female,Yes,37,1,Artist,5-10,23900.985604098387,Average,4.0
Female,Yes,21,0,Lawyer,5-10,17185.574693137794,High,4.0
Male,Yes,39,1,Lawyer,5-10,40639.39404462915,High,2.0
Female,Yes,26,1,Engineer,0-5,23862.04869012641,Low,2.0
Male,Yes,40,1,Artist,+20,22716.103183856518,Average,4.0
Male,Yes,20,1,Executive,5-10,25501.024935821206,Average,4.0
Male,No,43,0,Healthcare,5-10,41149.32412387546,Low,5.0
Male,Yes,32,0,Executive,5-10,36838.56568944659,High,4.0
Female,Yes,26,0,Artist,10-20,13242.878265191423,High,2.0
Female,Yes,48,1,Entertainment,0-5,49407.04144415697,Average,4.0
Male,Yes,47,0,Artist,10-20,32285.16189285963,Average,2.0
Female,No,36,0,Engineer,10-20,26128.835133663113,Low,4.0
Female,Yes,21,1,Lawyer,5-10,21990.466369261165,High,2.0
Male,No,55,0,Healthcare,+20,19456.48158946776,Low,3.0
Female,Yes,18,1,Artist,0-5,15921.270768208758,Average,3.0
Male,No,30,0,Healthcare,0-5,24158.297197245425,Low,5.0
Male,Yes,35,1,Executive,5-10,32125.003293622154,High,2.0
Male,No,41,1,Entertainment,10-20,27692.87808991607,Low,
Male,No,19,0,Artist,5-10,9288.138182530562,Low,4.0
Female,Yes,45,1,Artist,10-20,48557.21533702541,Average,2.0
