,Unnamed: 0,ID,Year_Birth,Education,Marital_Status,Income,Kidhome,Teenhome,Dt_Customer,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Z_CostContact,Z_Revenue,Response
0,0,5524,1957,Graduation,Single,58138.0,0,0,04-09-2012,58,138.35,27.04967381087828,87.82,59.72,34.1008058335704,3,8,10,4,7,0,0,0,0,0,0,3,11,1
1,1,2174,1954,Graduation,Single,46344.0,1,1,08-03-2014,38,147.07,42.39658678180492,111.17,61.8,47.35385858677824,2,1,1,2,5,0,0,0,0,0,0,3,11,0
2,2,4141,1965,Graduation,Together,71613.0,0,0,21-08-2013,26,132.56,43.35094203069926,90.61,80.49,45.133515896658736,1,8,2,10,4,0,0,0,0,0,0,3,11,0
3,3,6182,1984,Graduation,Together,26646.0,1,0,10-02-2014,26,93.63,44.75524925126961,88.34,54.45,41.624732187432215,2,2,0,4,6,0,0,0,0,0,0,3,11,0
4,4,5324,1981,PhD,Married,58293.0,1,0,19-01-2014,94,141.37,48.02434903362852,122.29,105.8,72.8551484753367,5,5,3,6,5,0,0,0,0,0,0,3,11,0
5,5,7446,1967,Master,Together,62513.0,0,1,09-09-2013,16,123.32,36.87661969817366,116.41,79.25,50.526434254211885,2,6,4,10,6,0,0,0,0,0,0,3,11,0
6,6,965,1971,Graduation,Divorced,55635.0,0,1,13-11-2012,34,93.67,36.27338827536463,76.9,58.29,31.46983361151833,4,7,3,7,6,0,0,0,0,0,0,3,11,0
7,7,6177,1985,PhD,Married,33454.0,1,0,08-05-2013,32,120.93,51.64944736038751,103.29,74.75,57.57838409076911,2,4,0,4,8,0,0,0,0,0,0,3,11,0
8,8,4855,1974,PhD,Together,30351.0,1,0,06-06-2013,19,92.41,43.80730251725285,100.22,88.64,58.115878655503415,1,3,0,2,9,0,0,0,0,0,0,3,11,1
9,9,5899,1950,PhD,Together,5648.0,1,1,13-03-2014,68,94.87,47.40762466297856,122.56,88.98,65.51101161023823,1,1,0,0,20,1,0,0,0,0,0,3,11,0
10,10,1994,1983,Graduation,Married,,1,0,15-11-2013,11,,,,,,1,1,0,2,7,0,0,0,0,0,0,3,11,0
11,11,387,1976,Basic,Married,7500.0,0,0,13-11-2012,59,98.77,29.66006532647873,61.35,44.18,34.49418387967625,1,2,0,3,8,0,0,0,0,0,0,3,11,0
12,12,2125,1959,Graduation,Divorced,63033.0,0,0,15-11-2013,82,117.5,20.18804488594355,70.09,59.49,27.737458589146563,1,3,4,8,2,0,0,0,0,0,0,3,11,0
13,13,8180,1952,Master,Divorced,59354.0,1,1,15-11-2013,53,119.84,25.41932839910473,94.11,60.4,53.579560966020345,3,6,1,5,6,0,0,0,0,0,0,3,11,0
14,14,2569,1987,Graduation,Married,17323.0,0,0,10-10-2012,38,95.11,51.28640385862317,87.58,60.64,29.649737404718707,1,1,0,3,8,0,0,0,0,0,0,3,11,0
15,15,2114,1946,PhD,Single,82800.0,0,0,24-11-2012,23,158.07,32.374280632466224,94.95,79.08,44.760602296493,1,7,6,12,3,0,0,1,1,0,0,3,11,1
16,16,9736,1980,Graduation,Married,41850.0,1,1,24-12-2012,51,126.68,59.17816958984277,112.2,103.98,74.80656221506592,3,3,0,3,8,0,0,0,0,0,0,3,11,0
17,17,4939,1946,Graduation,Together,37760.0,0,0,31-08-2012,20,86.05,36.79862361819176,70.0,71.32,23.099581770543963,2,4,1,6,7,0,0,0,0,0,0,3,11,0
18,18,6565,1949,Master,Married,76995.0,0,1,28-03-2013,91,153.77,55.69283548985575,124.89,95.35,55.08421941648594,2,11,4,9,5,0,0,0,1,0,0,3,11,0
19,19,2278,1985,2n Cycle,Single,33812.0,1,0,03-11-2012,86,109.24,24.17458885603522,74.79,48.23,36.27540190629791,2,2,1,3,6,0,0,0,0,0,0,3,11,0
20,20,9360,1982,Graduation,Married,37040.0,0,0,08-08-2012,41,108.99,42.5922316669492,76.83,67.02,38.23816794399626,1,4,2,5,8,0,0,0,0,0,0,3,11,0
21,21,5376,1979,Graduation,Married,2447.0,1,0,06-01-2013,42,87.43,48.17200450230074,83.68,61.17,41.32103187361219,15,0,28,0,1,0,0,0,0,0,0,3,11,0
22,22,1993,1949,PhD,Married,58607.0,0,1,23-12-2012,63,145.08,52.09246373215127,128.94,90.66,62.45413835787336,3,2,3,9,8,0,1,0,0,0,0,3,11,0
23,23,4047,1954,PhD,Married,65324.0,0,1,11-01-2014,0,121.46,49.68075039400203,115.5,89.35,58.16314646960623,3,6,2,9,4,0,0,0,0,0,0,3,11,0
24,24,1409,1951,Graduation,Together,40689.0,0,1,18-03-2013,69,113.92,48.57799200150926,120.81,73.71,51.32317455217416,7,7,1,5,8,0,0,0,0,0,0,3,11,0
25,25,7892,1969,Graduation,Single,18589.0,0,0,02-01-2013,89,105.24,35.49929364738652,80.36,47.89,33.82241682210611,2,2,1,3,7,0,0,0,0,0,0,3,11,0
26,26,2404,1976,Graduation,Married,53359.0,1,1,27-05-2013,4,127.91,47.14764874443921,114.47,95.51,50.84204928038906,4,5,1,4,7,0,0,0,0,0,0,3,11,0
27,27,5255,1986,Graduation,Single,,1,0,20-02-2013,19,,,,,,0,27,0,0,1,0,0,0,0,0,0,3,11,0
28,28,9422,1989,Graduation,Married,38360.0,1,0,31-05-2013,26,107.49,37.92410120074726,94.58,66.04,53.0350170872611,2,2,1,4,3,0,0,0,0,0,0,3,11,0
29,29,1966,1965,PhD,Married,84618.0,0,0,22-11-2013,96,151.63,50.89534764193526,122.6,99.23,58.89291631457801,1,6,9,10,2,0,0,1,0,0,0,3,11,0
30,30,6864,1989,Master,Divorced,10979.0,0,0,22-05-2014,34,55.19,30.56625230635016,46.33,32.67,23.98595536253958,2,3,0,3,5,0,0,0,0,0,0,3,11,0
31,31,3033,1963,Master,Together,38620.0,0,0,11-05-2013,56,108.78,48.10529964653934,101.85,78.34,37.624260852757565,1,2,5,3,3,0,0,0,0,0,0,3,11,0
32,32,5710,1970,Graduation,Together,40548.0,0,1,10-10-2012,31,136.46,51.29701748626563,108.88,61.19,44.98732574923514,2,2,1,4,5,0,1,0,0,0,0,3,11,0
33,33,7373,1952,PhD,Divorced,46610.0,0,2,29-10-2012,8,91.64,31.129307778349464,110.43,63.1,55.30766542888004,6,4,1,6,6,0,0,0,0,0,0,3,11,1
34,34,8755,1946,Master,Married,68657.0,0,0,20-02-2013,4,129.93,52.13743302236223,92.28,70.08,34.94552266545793,1,3,5,9,7,0,0,0,0,0,0,3,11,0
35,35,10738,1951,Master,Single,49389.0,1,1,29-08-2013,55,145.32,37.12246319337192,117.03,95.03,53.42594285423338,1,2,0,3,7,0,0,0,0,0,0,3,11,0
36,36,4339,1970,PhD,Married,67353.0,0,1,31-12-2013,37,153.92,62.07991342128875,118.75,85.7,66.13581002723457,5,5,6,12,2,0,0,0,0,0,0,3,11,0
37,37,10755,1976,2n Cycle,Married,23718.0,1,0,02-09-2013,76,71.81,29.00444213452314,79.04,66.26,50.07985233561738,3,3,1,2,7,0,0,0,0,0,0,3,11,0
38,38,8595,1973,Graduation,Widow,42429.0,0,1,11-02-2014,99,121.73,33.21088137752196,98.84,68.29,44.36816257859878,2,1,1,3,5,0,0,0,0,0,0,3,11,0
39,39,2968,1943,PhD,Divorced,48948.0,0,0,01-02-2013,53,95.14,20.00126015958664,76.56,63.58,33.46340886972243,2,7,10,5,6,1,0,0,0,0,0,3,11,1
40,40,8601,1980,Graduation,Married,80011.0,0,1,29-04-2013,3,135.09,47.8154834410123,106.23,80.62,51.681819055077405,2,8,6,5,4,0,0,0,0,0,0,3,11,0
41,41,503,1985,Master,Married,20559.0,1,0,12-03-2013,88,101.26,56.7970519018092,103.99,79.01,53.56023128825438,2,2,0,3,8,0,0,0,0,0,0,3,11,0
